Here is the list of increments for K=12 for G=5 and F=2. The increments are over the modified Cappellaro method. In other words we have updated the phase with 0.5*arg(b_{-2^(k+1)}) for the detections in the interaction time
 2^k*tau  and with 0.5*arg(b_{2^k}) when the interaction time is changed from 2^k*tau to 2^(k-1)*tau. The phase is then incremented based on the measurement result according to the following lists.
If the measurement gives u=1, with the  probability p(u=1)=(fa+fi-(fa-fi)*vis*cos(2**(K-k)phi-theta))/2, the corresponding increment in the u=1 list is used and if 
the measurement gives u=0, with the probability p(u=0)=1-p(u=1), then the corresponding phase in the u=0 list is used.
The first controlled phase is set to zero and the updating is started from the second controlled phase.
For this value of K (K=12), N=57311 and the swarm optimization gives NV_H=0.011308963581548204.
increments for u=1				time (multiplied by tau)
0.4488343573872680                       2^3
-1.207274413432053                       2^3
-0.6396630286858098                      2^3
0.9679173159350505                       2^3
-2.4453410966726263E-002                 2^3
-1.715897992603953                       2^3
-0.8408449463414143                      2^3
0.1170761923403698                       2^3
-0.2720688723282914                      2^3
0.3900419914386850                       2^2
0.7195290915457155                       2^2
-0.2261171250329759                      2^2
0.4224575770262460                       2^2
0.3936458662174780                       2^2
-0.2349673890649080                      2^2
-0.1049886684405772                      2^2
-0.2459072203202628                      2^2
-0.2587542806290930                      2^2
3.3673073562043854E-002                  2^2
-0.8119215606866668                      2^2
-0.3203759924792640                      2^2
-0.2275279828864765                      2^2
0.2784797164422388                       2^2
6.6760300014715224E-002                  2^2
1.060701972573271                        2^2
0.6109753687346737                       2^2
-0.5568606613282538                      2^2
-0.2852390727558860                      2^2
-0.2998655825282461                      2^2
0.1064869278383598                       2^2
-1.244604935858795                       2^2
-0.9406735795965497                      2^2
1.646069620334082                        2^2
0.9597732147413112                       2^2
1.905237903115306                        2
-0.3868409592371949                      2
-1.341218691449859                       2
-0.8280765738296743                      2
-0.5610214532610169                      2
-0.4337997601266808                      2
0.5409693329094933                       2
0.8073102664670020                       2
0.3161442457032901                       2
0.3701825229109872                       2
0.2119059715158307                       2
0.1894909892457228                       2
-0.3963922627391776                      2
0.1052948130075890                       2
-0.6241768875463722                      2
0.2354879431923913                       2
-7.4531174198174899E-002                 2
-2.316492349411124                       2
-0.3612335306553556                      2
0.1862090372016039                       2
-3.052958858316605                       2
-0.1944835802351159                      2
0.3574034332550879                       2
-2.760485221872852                       2
-0.3904505887206575                      2
-0.7704407267621050                      2
-0.6684250966231993                      2
1.118325532883945                        1
-1.152010510797777                       1
-0.1507666703340589                      1
0.4243756819035740                       1
0.9345871603582374                       1
0.8429353419784325                       1
0.4734478110093372                       1
1.884701375895800                        1
0.3233029217083945                       1
-0.2394527348488760                      1
-0.1680930835358088                      1
1.101150359359414                        1
-0.3857598504391424                      1
1.092740833589300                        1
-0.2617846456629116                      1
-1.798849239288709                       1
-0.6445815578447731                      1
-0.9421717239522316                      1
0.8023228857637150                       1
-2.894346016310910                       1
-4.6274908433704631E-002                 1
0.4435342980348413                       1
-2.145989239250564                       1
3.045301960289637                        1
0.1559705429899712                       1
-0.2623183280400436                      1
0.2945170605333649                       1
0.2893491328636921                       1
-0.3007559414284282                      1


increments for u=0 
 0                                         2^12
 -0.8525540158639697                       2^12	
-0.1754000085662857                        2^12
1.038388919717550                          2^12
1.077256620378131                          2^12
-0.1332004542112735                        2^11
-0.3974771545872713                        2^11
-0.3465727939475700                        2^11
1.184857030523188                          2^11
0.4934031240845305                         2^11
-0.8516430446763907                        2^11
-2.280769501367392                         2^11
-2.947942119629550                         2^10
-4.7886166416217790E-003                   2^10
-8.0744436884125470E-002                   2^10
-1.3605887417940110E-002                   2^10
1.661622144114773                          2^10
-0.3096725343244531                        2^10
0.2901498001221174                         2^10
6.8224586710667445E-002                    2^10
-0.2159748981172429                        2^10
-0.5102811826935034                        2^9
-0.4105001812991516                        2^9
0.2134492996898834                         2^9
-0.1980603458079289                        2^9
-0.5080993396738847                        2^9
-6.2276561297625932E-002                   2^9
-0.1157403678196975                        2^9
-0.7268155968555106                        2^9
1.078926571711095                          2^9
0.1017381763887362                         2^9
1.4616251712418205E-003                    2^9
2.946720101017516                          2^8
-1.4428182971056636E-002                   2^8
-0.1094108650171584                        2^8
0.1405917638016048                         2^8
-1.792014969193847                         2^8
-0.2326500507020404                        2^8
1.331231332429783                          2^8
-2.182507717672664                         2^8
-1.1971464479575644E-002                   2^8
0.6035687572089041                         2^8
-0.4304276208467699                        2^8
0.3670237257453097                         2^8
-3.052518156073361                         2^8
1.932356357294359                          2^7
0.2941510324147179                         2^7
0.2409635076538810                         2^7
-1.8882203185477842E-002                   2^7
-1.187419546405702                         2^7
-0.4753273412343662                        2^7
-0.9664243069843366                        2^7
4.8454880967736980E-002                    2^7
6.9369170070790354E-002                    2^7
0.1498689201687076                         2^7
0.1153355753278476                         2^7
-1.362401771989931                         2^7
1.897813306117983                          2^7
1.642665812362886                          2^7
-0.7445750839091363                        2^7
-0.8349242035125441                        2^6
0.2241582186979665                         2^6
-0.1953430821979691                        2^6
-0.2403337785664807                        2^6
0.2287771322094674                         2^6
0.9647235671669314                         2^6
0.9616518034544157                         2^6
1.447426372806055                          2^6
-1.775796925305465                         2^6
0.1286637066186187                         2^6
-0.2488292032542629                        2^6
-0.3202625433760966                        2^6
-3.5985028144487341E-002                   2^6
-2.6405236479407623E-002                   2^6
-6.8679241545809067E-002                   2^6
-2.7183688166723563E-002                   2^6
0.7402036544666615                         2^6
-0.9094031386353407                        2^5
-0.4470105673572333                        2^5
-2.6448488771066536E-002                   2^5
0.2645638524070373                         2^5
-0.5017827441200020                        2^5
-1.021147359216735                         2^5
0.3973309123729258                         2^5
1.935386701324918                          2^5
4.8011668568402666E-002                    2^5
0.8273641917838073                         2^5
-0.8884170776340996                        2^5
-0.6763142134966484                        2^5
-0.3441415688956764                        2^5
-0.3787427717004364                        2^5
1.844313565129951                          2^5
0.8051904171002877                         2^5
-0.5579926942171634                        2^5
-0.7482566413503320                        2^5
-0.4574901324175453                        2^5
-1.015810613293455                         2^4
4.7633316857868646E-002                    2^4
0.2039879919745613                         2^4
1.413068725090261                          2^4
0.5454566296155710                         2^4
0.6815428055453765                         2^4
0.9888096857603585                         2^4
-0.1867557632618286                        2^4
0.9548281125981628                         2^4
0.3661898732092723                         2^4
2.130078502265447                          2^4
-0.4440021325433348                        2^4
0.1245851052534932                         2^4
-0.6534147185953669                        2^4
0.6866595663181130                         2^4
-0.2439975280492379                        2^4
1.040075930672600                          2^4
1.363115044210173                          2^4
0.5280795833840952                         2^4
0.2415759290857222                         2^4
0.1696194651025995                         2^4
-7.5063218888758776E-002                   2^3
-0.3101246860031708                        2^3
-6.1544353495235349E-002                   2^3
-9.3800631582848126E-002                   2^3
1.725556821485581                          2^3
2.019257501536337                          2^3
-2.468099355513827                         2^3
1.304702952794574                          2^3
0.3499979544210077                         2^3
-0.3265540297863154                        2^3
-0.4312605915882242                        2^3
-1.635286043677399                         2^3
1.858777649237362                          2^3
-1.202530114270833                         2^3
1.363861311616139                          2^3
0.1611113627157073                         2^3
-0.8723861092816723                        2^3
-0.3415143689423954                        2^3
1.359487953442413                          2^3
0.3329642752127659                         2^3
0.5112848753433976                         2^3
-0.5849183638432587                        2^3
-2.066160869520330                         2^3
-0.6744175734147437                        2^2
1.619284453890949                          2^2
-0.5409204807585448                        2^2
0.4723599416024586                         2^2
-2.582638401749328                         2^2
-0.8954457597780250                        2^2
-0.4332308685823256                        2^2
2.318231902676755                          2^2
-0.8814706931787324                        2^2
0.9995121075235538                         2^2
0.7093614004807085                         2^2
0.4951233147808654                         2^2
0.6470811056072665                         2^2
-3.2378728483122288E-002                   2^2
1.653756226502251                          2^2
-1.248808335037809                         2^2
0.1199050188918802                         2^2
-0.1325281457025591                        2^2
1.861851412746479                          2^2
-1.402858246622786                         2^2
0.4148027724293506                         2^2
0.2441122913429581                         2^2
